,FP-SGD|x,FP-SGD|y,FP-SGD|y_std,LM-HALP 8|x,LM-HALP 8|y,LM-HALP 8|y_std,LM-Bit-Center 8|x,LM-Bit-Center 8|y,LM-Bit-Center 8|y_std
0,1250,0.3809300447442805,0.0,1250,0.39861973887613134,0.0,1250,0.3950508012774757,0.0
1,2500,0.3624286722328497,0.0,2500,0.3697460140065505,0.0,2500,0.3716181767011596,0.0
2,5000,0.34558736555302216,0.0,5000,0.34988232702889,0.0,5000,0.3475982069657504,0.0
3,10000,0.33674047909418325,0.0,10000,0.3356065766342675,0.0,10000,0.3352231707665262,0.0
4,20000,0.3265190418116335,0.0,20000,0.32744900498019747,0.0,20000,0.3266577205297527,0.0
5,50000,0.3198746996993935,0.0,50000,0.32016021470728595,0.0,50000,0.3209311052285956,0.0
6,100000,0.3165015438204355,0.0,100000,0.3170317859779501,0.0,100000,0.3174722948472699,0.0
7,200000,0.31526975050067096,0.0,200000,0.31679929518580907,0.0,200000,0.3168931072598309,0.0
8,400000,0.31551447765029306,0.0,400000,0.3152575141431898,0.0,400000,0.31719901619685853,0.0
